代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
000762.SZ,西藏矿业,2010-02-25,14.5,14.7,6115053725.0,黑色金属矿采选业,0.3119485824159259
000923.SZ,河钢资源,2010-02-25,8.89,8.94,1785960000.0,黑色金属矿采选业,0.0911075708090442
600532.SH,未来股份,2010-02-25,9.31,9.1,1402362000.0,黑色金属矿采选业,0.0715390015537374
000655.SZ,金岭矿业,2010-02-26,16.75,16.64,10239851956.0,黑色金属矿采选业,0.5252270229379247
000762.SZ,西藏矿业,2010-02-26,14.58,14.52,6040614388.0,黑色金属矿采选业,0.3098378692737063
000923.SZ,河钢资源,2010-02-26,8.92,9.07,1811700000.0,黑色金属矿采选业,0.09292651901076354
600532.SH,未来股份,2010-02-26,9.06,9.11,1403883000.0,黑色金属矿采选业,0.07200858877760542
000655.SZ,金岭矿业,2010-03-01,17.0,16.78,10329152990.0,黑色金属矿采选业,0.521908909037892
000762.SZ,西藏矿业,2010-03-01,14.97,14.87,6183979038.0,黑色金属矿采选业,0.31246257620159157
000923.SZ,河钢资源,2010-03-01,9.02,9.17,1831500000.0,黑色金属矿采选业,0.09254158282177782
600532.SH,未来股份,2010-03-01,9.1,9.39,1446471000.0,黑色金属矿采选业,0.07308693193873864
000655.SZ,金岭矿业,2010-03-02,16.78,16.56,10192224738.0,黑色金属矿采选业,0.5172594053457376
000762.SZ,西藏矿业,2010-03-02,14.91,15.05,6261175388.0,黑色金属矿采选业,0.3177571081108011
000923.SZ,河钢资源,2010-03-02,9.18,9.11,1819620000.0,黑色金属矿采选业,0.09234642910159219
600532.SH,未来股份,2010-03-02,9.4,9.29,1431261000.0,黑色金属矿采选业,0.07263705744186914
000655.SZ,金岭矿业,2010-03-03,16.95,17.59,10829238784.0,黑色金属矿采选业,0.525104866577424
000762.SZ,西藏矿业,2010-03-03,15.13,15.56,6473465350.0,黑色金属矿采选业,0.31389539253005055
000923.SZ,河钢资源,2010-03-03,9.16,9.33,1863180000.0,黑色金属矿采选业,0.09034475135549147
600532.SH,未来股份,2010-03-03,9.24,9.46,1457118000.0,黑色金属矿采选业,0.070654989537034
000655.SZ,金岭矿业,2010-03-04,17.55,16.78,10329152990.0,黑色金属矿采选业,0.5256868004209324
000762.SZ,西藏矿业,2010-03-04,15.63,14.66,6098511650.0,黑色金属矿采选业,0.3103746337886589
000923.SZ,河钢资源,2010-03-04,9.32,9.06,1809720000.0,黑色金属矿采选业,0.09210299405757663
600532.SH,未来股份,2010-03-04,9.46,9.16,1411488000.0,黑色金属矿采选业,0.07183557173283199
000655.SZ,金岭矿业,2010-03-05,16.98,18.38,11311464370.0,黑色金属矿采选业,0.5475795890662996
000762.SZ,西藏矿业,2010-03-05,14.67,14.65,6092997625.0,黑色金属矿采选业,0.29495748972415664
000923.SZ,河钢资源,2010-03-05,9.01,9.25,1847340000.0,黑色金属矿采选业,0.0894283573706503
600532.SH,未来股份,2010-03-05,9.18,9.12,1405404000.0,黑色金属矿采选业,0.06803456383889345
000655.SZ,金岭矿业,2010-03-08,17.99,18.38,11311464370.0,黑色金属矿采选业,0.5423265419121334
000762.SZ,西藏矿业,2010-03-08,14.65,14.89,6192250075.0,黑色金属矿采选业,0.2968865444810572
000923.SZ,河钢资源,2010-03-08,9.25,9.79,1954260000.0,黑色金属矿采选业,0.0936967162808829
600532.SH,未来股份,2010-03-08,9.1,9.08,1399320000.0,黑色金属矿采选业,0.06709019732592647
000655.SZ,金岭矿业,2010-03-09,18.39,18.86,11609134485.0,黑色金属矿采选业,0.5502198508189361
000762.SZ,西藏矿业,2010-03-09,14.78,14.77,6142623850.0,黑色金属矿采选业,0.2911322616471385
