代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
600777.SH,新潮能源,2010-01-25,1.71,1.7,4058997081.0,石油和天然气开采业,0.00114390827445022
601857.SH,中国石油,2010-01-25,10.03,10.03,2450650892983.0,石油和天然气开采业,0.690643471362495
000968.SZ,蓝焰控股,2010-01-26,18.31,17.54,9252583470.0,石油和天然气开采业,0.002673394329953527
600028.SH,中国石化,2010-01-26,5.55,5.33,1010083414350.0,石油和天然气开采业,0.29184835580882246
600256.SH,广汇能源,2010-01-26,4.13,4.08,23883370966.0,石油和天然气开采业,0.0069007395315809125
600759.SH,洲际油气,2010-01-26,4.52,4.41,7245621239.0,石油和天然气开采业,0.002093512887523667
600777.SH,新潮能源,2010-01-26,1.72,1.59,3796319304.0,石油和天然气开采业,0.0010968891591103605
601857.SH,中国石油,2010-01-26,10.03,9.85,2406725858307.0,石油和天然气开采业,0.6953871082830091
000968.SZ,蓝焰控股,2010-01-27,17.56,17.56,9262858410.0,石油和天然气开采业,0.002689053492571558
600028.SH,中国石化,2010-01-27,5.34,5.25,996211024110.0,石油和天然气开采业,0.2892049748735481
600256.SH,广汇能源,2010-01-27,4.03,4.05,23692837492.0,石油和天然气开采业,0.0068781476070077325
600759.SH,洲际油气,2010-01-27,4.42,4.17,6851429410.0,石油和天然气开采业,0.001989003757649793
600777.SH,新潮能源,2010-01-27,1.59,1.57,3740031208.0,石油和天然气开采业,0.0010857495102528532
601857.SH,中国石油,2010-01-27,9.86,9.84,2404895648529.0,石油和天然气开采业,0.6981530707589699
000968.SZ,蓝焰控股,2010-01-28,17.58,17.63,9298820700.0,石油和天然气开采业,0.0026995617813801416
600028.SH,中国石化,2010-01-28,5.27,5.26,997945072890.0,石油和天然气开采业,0.28971570327089585
600256.SH,广汇能源,2010-01-28,4.11,4.25,24836038336.0,石油和天然气开采业,0.007210206762321769
600759.SH,洲际油气,2010-01-28,4.14,4.57,7499030272.0,石油和天然气开采业,0.0021770605298050247
600777.SH,新潮能源,2010-01-28,1.57,1.57,3752539674.0,石油和天然气开采业,0.0010894083254065858
601857.SH,中国石油,2010-01-28,9.86,9.82,2401235228972.0,石油和天然气开采业,0.6971080593301906
000968.SZ,蓝焰控股,2010-01-29,17.61,17.45,9201208770.0,石油和天然气开采业,0.0026829732165763198
600028.SH,中国石化,2010-01-29,5.21,5.22,990141853380.0,石油和天然气开采业,0.288714682998088
600256.SH,广汇能源,2010-01-29,4.26,4.24,24797931641.0,石油和天然气开采业,0.0072308093515080045
600759.SH,洲际油气,2010-01-29,4.45,4.68,7686740667.0,石油和天然气开采业,0.0022413706555132317
600777.SH,新潮能源,2010-01-29,1.57,1.57,3740031208.0,石油和天然气开采业,0.0010905527535621366
601857.SH,中国石油,2010-01-29,9.81,9.79,2393914389859.0,石油和天然气开采业,0.6980396110247523
000968.SZ,蓝焰控股,2010-02-01,17.42,16.54,8723424060.0,石油和天然气开采业,0.0025969935130626754
600028.SH,中国石化,2010-02-01,5.2,5.09,965865170460.0,石油和天然气开采业,0.28754140173919224
600256.SH,广汇能源,2010-02-01,4.25,4.2,24569291472.0,石油和天然气开采业,0.00731436304534416
600759.SH,洲际油气,2010-02-01,4.65,4.92,8071546976.0,石油和天然气开采业,0.0024029274506062077
600777.SH,新潮能源,2010-02-01,1.57,1.53,3658726182.0,石油和天然气开采业,0.0010892154382698403
601857.SH,中国石油,2010-02-01,9.76,9.61,2348159145405.0,石油和天然气开采业,0.6990550988135249
000968.SZ,蓝焰控股,2010-02-02,16.77,16.66,8785073700.0,石油和天然气开采业,0.0026196889656836023
600028.SH,中国石化,2010-02-02,5.12,5.07,961530048510.0,石油和天然气开采业,0.28672607018138796
600256.SH,广汇能源,2010-02-02,4.22,4.28,25064678505.0,石油和天然气开采业,0.0074742300349689116
600759.SH,洲际油气,2010-02-02,4.92,4.93,8099703536.0,石油和天然气开采业,0.002415313143994188
600777.SH,新潮能源,2010-02-02,1.54,1.54,3671234648.0,石油和天然气开采业,0.001094753809270937
601857.SH,中国石油,2010-02-02,9.66,9.6,2346328935627.0,石油和天然气开采业,0.6996699438646944
000968.SZ,蓝焰控股,2010-02-03,16.87,18.0,9494044560.0,石油和天然气开采业,0.0027781831699460087
