,家具制造业,石油加工、炼焦及核燃料加工业,非金属矿物制造业,通用设备制造业,农业,建筑安装业,金属制品业,邮政业,其他制造业,燃气生产和供应业,生态保护和环境治理业,住宿业,黑色金属矿采选业,专用设备制造业,黑色金属加工,机动车、电子产品和日用品服务业,公共设施管理业,卫生业,计算机、通信和其他电子设备制造业,畜牧业,餐饮业,煤炭开采和洗选业,研究和试验发展,道路运输业,仪器仪表制造业,建筑装饰和其他安装业,电力、热力生产和供应业,农、林、牧、渔服务业,林业,航空运输业,专业技术服务业,仓储业,农副食品加工业,铁路、船舶、航空航天和其他运输模式设备制造业,石油和天然气开采业,电信、广播电视和卫星传输服务,零售业,文化艺术业,房屋建筑业,电气机械及器材制造业,酒、饮料和精制茶制造业,化学原料及化学制品制造业,教育业,土木工程建筑业,纺织服装、服饰业,文教、工美、体育和娱乐用品制造业,有色金属加工,装卸搬运及其他运输代理,食品制造业,商务服务业,货币金融服务,纺织业,木材加工及木、竹、藤、棕、草制品业,铁路运输业,租赁业,皮革、毛皮、羽毛及其,科技推广和应用服务业,广播、电视、电影和影视录音制作业,资本市场服务,有色金属矿采选业,橡胶和塑料制造业,非金属矿采选业,废弃资源综合利用业,水上运输业,汽车制造业,开采辅助活动,综合,水的生产和供应业,印刷和记录媒介复制业,化学纤维制造业,渔业,体育业,新闻和出版业,医药制造业,批发业,互联网和相关服务,软件和信息技术服务业,造纸及纸制品业,其他金融业
2020-07-06,49.58145062426162,6.707175774981566,30.60514674370924,13.157311080089166,11.552496783836084,18.97,27.489051485408698,42.45059093051243,23.10389214402768,9.976251787981374,12.835969190384983,20.81656485214439,18.18309352350744,88.95867389758182,6.734318745231333,9.78,41.78858785720936,60.13521576518378,58.137833508115264,59.98571180285747,7.095121067627952,11.172211993915754,88.41789482673964,7.288390238226707,27.271971970491443,11.178739843726648,8.720297235082853,10.36,8.959536288365907,25.820589762299385,52.076632534807175,9.355866905569012,32.161443097219156,17.87510388533259,4.510666399176178,16.006617782561367,25.993212717297283,42.10835281771831,5.355724393822257,58.28616449827141,876.1275694890102,28.949172538916798,26.104297500406012,6.567222143588242,8.836098664714461,32.65340106534768,18.856114761715098,24.99733665655562,64.10184315077993,94.32067714068425,9.818351570114569,9.970655031799922,9.144855672078782,6.617761242598766,4.525229865062053,7.7703764594955995,13.7,11.253870382890543,21.24494314314082,11.545140810130219,27.14865734922164,23.55,11.543366356349544,5.467460741233462,26.31177724654044,12.171931785298009,7.708093517990329,5.894281213257363,16.558751220341108,16.364602163582347,4.579954725403526,14.4,12.141114897517628,76.45595450932052,14.675704171715362,52.614582516932956,65.12898255778072,12.060533591486847,52.88510559053857
2020-07-07,50.28670736604037,6.673240001592277,30.524875424819008,13.615346989388254,11.845085621893118,18.9,28.837497758308782,45.96004602056999,25.395017844636246,10.111310180896444,13.195297912438381,21.181520270538346,18.06298747700809,90.41242158041405,6.727717809362014,10.12,41.50375259760008,61.01723130159553,59.70400798724671,59.45060391530177,7.0553078330539005,11.222210684000599,89.29223998615569,7.285605199549215,27.93938853885635,11.250901419519733,8.734596498843846,10.41,8.90236580044143,25.407305780534596,54.11073533042822,9.560833905939106,32.72596954686883,18.684532272529804,4.4836437238998545,16.68095557960579,26.50761234689146,43.88223854202424,5.305100532320157,62.723777031105016,931.4468150711353,29.663825488721155,28.574372165441115,6.509798510176607,8.98827073183111,34.52147325215352,20.084522210472038,25.13918397120781,65.89514566266496,88.46955653355391,9.902248437168229,10.071376737773777,8.98653666196,6.49525317505339,4.395671409982051,7.953640243647829,13.02,11.59567525079132,20.71052281268392,11.787723738494106,28.839449445833463,23.34,11.925570600695153,5.507809634931729,27.069556925383004,12.426319724061285,7.7987118539903175,5.895192832652717,17.769118707242466,16.628211428802196,4.590214707576507,14.85,12.423106388710064,81.52809614158737,14.836417647400674,56.464592039774885,68.3487979896406,12.286189283283871,52.389527307675955
2020-07-08,49.06950123254069,6.706872921170301,30.859765484402452,13.887001202896947,12.042005950205647,19.2,28.644821371493954,46.140490198440915,25.85556611733193,10.311357150078276,13.668835775349908,20.45474474581039,18.94855795435622,91.22037762922822,6.765640653213215,10.06,41.69180893378738,61.33886502697251,60.64006294113331,60.32162193762339,7.006160597627371,11.176931148263028,89.80053743857596,7.422460844107528,28.653804583735344,11.418022048959553,8.697155216184392,10.47,8.804732574817063,24.821168327643804,56.66376398470918,10.054649936340113,32.668682903372456,20.291139289771635,4.461817909940034,17.03074808692308,26.727977802107134,44.58214576767563,5.398088247723659,62.975846007484094,926.5068396276196,29.945439845167186,27.531240997859406,6.6703855407243315,8.981143035509653,34.732971842327316,20.196200511874153,24.828588583126496,65.98819189545226,89.89768785267216,9.853280646566704,10.35063535554974,9.155215225824874,6.52561843681395,4.527264933975716,7.934940748581335,13.65,11.915053682775635,22.18178093984615,12.1449625786596,29.34233575948959,24.35,12.0312003767477,5.5521258678545005,26.952456082858923,12.977203575214734,7.875327684792599,6.025065252066867,19.252854414467244,17.378935378948377,4.63571399056411,15.41,12.31829270618871,81.70052114892474,14.99959207162452,55.520798451983374,70.2683551233854,12.717032953459363,54.636901200035076
2020-07-09,49.90232684348928,6.958573175527954,31.61092194785714,14.354464249163044,12.37953169458101,19.48,29.0388621347814,46.11569133203673,28.24644764906626,10.817549353120873,13.755929894831548,20.59962517967604,19.725459054500597,95.40354075120439,7.0467542652009785,10.32,42.54711014391234,63.73817137067333,64.1157775605874,62.24372416961085,7.498039286807542,11.350194988095916,93.08274903614443,7.5654494919189155,30.14016099529038,11.83165661123183,8.683365079524041,11.0,8.770254117577986,25.135037559450677,58.79903704502779,10.115973765199277,33.312514446581815,21.54187807616578,4.517301713069052,18.84238644975414,27.488209689738028,46.76712196967007,5.440613210724459,65.04053795509273,941.8267507956716,30.935253875393535,27.50165742774484,6.7446781124766515,9.333675126750379,34.957260465646,20.550151491722907,28.238066277256483,66.38196773825375,88.41456329850621,9.737818129411197,10.804076281791867,9.530656996037814,6.631510876752142,4.538520198414297,8.131455953248055,13.65,12.096307124950528,22.174395802301092,12.839465813385187,29.539733765491412,24.52,12.616368504497709,5.667332952175358,27.438800626239914,13.898077973705654,8.015797529484628,6.0687892161698285,19.32377880085093,17.56463851507381,4.736239828603138,15.91,12.52686649038832,84.94572817445376,15.339468812535282,60.39838585275362,74.29669976096815,12.670886349029848,55.246401954957676
2020-07-10,49.93101570761576,6.723183087665079,31.042147457282887,14.120187480739128,12.085439235733439,18.78,29.730668871299667,48.68888323491096,27.03242277792797,11.056859596639967,13.608092444611806,20.66983275562799,18.92508805195736,96.36237905599026,6.722276733391469,10.17,40.84646033356138,64.28708204866592,64.33947177206625,61.10404170216433,7.88615459639794,10.960503332160778,93.60682335293835,7.682236490567264,29.899313708527856,11.878555396959076,8.66384674215985,10.63,8.545205440856869,25.16459500040184,64.66548910943851,10.548076849885787,34.03335176201149,21.819968963865332,4.394665208070864,19.321752355596963,27.650868063413064,51.40540510326323,5.411666298192994,64.15411721933135,943.6228995897955,31.102681546809112,28.1923272163991,6.5809197792504115,9.174796665617855,34.98075637240188,20.588884887000543,32.244660871434434,67.40854082603148,94.29239083410818,9.343901580407223,11.033542860410899,9.57575723830914,6.4293980050878,4.456528421973208,8.05400260083278,13.67,12.541147544595193,21.498339119363788,12.254635213851024,30.69433900697436,24.73,13.439396165941586,5.7970942630159845,28.637831577137987,13.851553059726244,8.286357797640466,6.064093813016485,17.574671240375313,17.749582290009293,4.688479507147294,16.1,12.36348380299663,88.3462141901819,15.652832685578757,61.7558782175593,74.51552611562434,12.585753503599447,52.7431878595725
2020-07-13,51.969004204987506,6.9349323389359085,31.824387336903744,14.610165798470138,13.20521857489039,19.53,31.861769602740587,49.91612142933434,27.97540054683855,11.704414483424049,13.890081977661398,20.714414784391522,20.350461002339333,98.50489423282555,6.908427840622386,10.52,41.82432804331095,66.63052197014281,65.69141550072958,63.88424884875782,7.903325910798516,11.089073792284445,96.76714083341918,7.931087454712238,30.774591839067256,12.24345383589366,8.841934664795525,11.69,8.809729181760048,24.40655877036483,64.21529345988465,11.119223573561476,34.74263967740173,22.44425245209447,4.437922989336229,19.850257859413123,27.83496976680273,52.14446186972808,5.568347141883304,68.22745320444731,978.8532065017573,31.80849572776329,29.951342922534216,6.731457284376184,9.425916545005185,35.822990170618475,22.334046876392474,31.28810940654059,68.05426081435854,87.2295651142669,9.326937944083225,11.297766964223165,9.884343628661401,6.483923169470428,4.6152429468913025,8.238689697160059,13.84,12.661522485739583,21.89294101772529,12.43173127617749,32.44001246752215,25.48,12.534454350918164,5.96245332802184,30.638945140139207,14.635428337837412,8.71846786432083,6.34320327738329,16.883124282482125,18.210532470917144,4.907125705537519,16.5,12.86045458405785,93.14739855916767,16.23616510702967,62.066315773132224,78.88847308725065,13.269162801613776,52.65683092997267
2020-07-14,51.12160895493684,6.912610587334818,31.974432752040816,14.45513362607945,13.400933748060014,19.16,33.69402260394702,49.44362032151543,28.28761187258893,12.135700592165167,13.77967835885467,20.94033635806594,20.128685562241635,98.4552505686573,6.8478304386332685,10.43,42.93480183783394,64.99293123998416,67.2033572754284,65.68862931114104,7.713022706144329,11.072059035856888,94.866968851972,7.973399443910713,29.701814700628358,12.223310947639336,8.890751279812388,11.53,9.041568756998384,23.969184106683855,56.7662481987521,10.668529551544145,34.50392124388939,22.575636263214395,4.371296433680712,20.10414150252074,27.813145277288864,50.98492902386507,5.559180376023305,66.08250238081172,960.8893049418876,31.10657054025496,30.40480723439674,6.708409700556874,9.740537541726821,36.06820396912288,20.895192133205125,28.845854710621783,67.68490065895747,85.38884972035945,9.158885416715812,10.87815691149201,9.55738243395927,6.59025167769289,4.537972527528952,8.111709584448596,13.6,13.276675478309247,22.080518219929647,12.171846362880173,33.316273000339514,24.48,12.202661705358356,5.83936909959183,30.0877903976174,14.082992974585219,8.443584608865383,6.412122612547234,17.182113103650902,17.875298582335432,4.8431661739956455,17.15,12.725710939706135,95.27992006214185,15.592234298559246,61.9806228709683,75.9234943020011,13.635790970605036,51.96879287993944
2020-07-15,52.83660109041213,6.932670575409222,31.589088938955644,14.283775458472094,12.667251114922548,18.11,33.69241662420794,50.02518813557957,28.283590061571985,12.085745808520008,13.655374335730992,23.029831729456326,18.858425061439384,100.49647644653778,6.764525066198547,9.94,46.77433401034895,68.48665053600726,62.98853545458592,65.99479821436162,7.876735024924898,10.801571117190045,97.5552257170256,7.922221515827446,28.36729678627264,12.142780447226283,9.095881827689368,10.96,8.858306383212398,24.183128597274436,54.17216754764013,10.552579558411036,36.19563694182762,22.214713052602644,4.303758967287236,18.85528100760145,28.653926362732207,49.00103336563235,5.537227661398767,64.34740964059628,946.6728775261148,30.998912868785553,31.18250059129964,6.501176814759406,9.470529465727745,38.171139061594126,20.14683329921324,29.25967579226685,69.63835783494015,86.8458638576948,9.018709533014535,10.792152059783026,9.625136591858585,6.411753396535981,4.719831355025855,8.084027456993327,13.07,12.790635627494082,21.766121155678,12.125626359454875,33.853196037296634,24.15,11.399823510135219,5.581345416428476,29.688974412445468,14.388965304280903,8.369371588562888,6.169423994034412,15.731391206397568,18.13198960357871,4.731534543621228,15.6,12.876079919680087,97.56215496444864,15.631012131211852,60.164437799596065,74.8262819625473,13.665303960889737,51.17586151969108
2020-07-16,50.07920504050624,6.520509387818239,30.271545640087485,13.613973071119874,11.778437548599792,16.48,31.122101567904338,47.91819922757399,26.404357725180787,11.537434818234493,13.12264359753779,21.979346883546146,18.561692785208525,92.5645251151107,6.570980010950714,9.73,42.139261220795944,64.14747829559657,59.197499885026964,61.51805512295735,13.097169429561232,10.478483827775952,93.41848979363219,7.98205259675537,26.616978864646676,11.414551282495957,8.723134026041874,10.23,8.508719683928893,23.159260552244575,51.01072124803651,10.14525090191347,34.42517008899277,21.336780841627505,4.224305463648505,16.85919253320272,26.01394058198419,48.24696125858137,5.353427430284942,60.98199827749206,876.8626635896662,28.996841077660815,30.058057786979138,6.310829038614723,8.90234249398409,36.14929134375356,18.80559149994705,29.962194271955905,65.58477483411897,75.95671676509154,8.972797296258278,10.178525681271969,9.242343885907616,6.078940255978777,4.303752318164659,7.72001029898525,13.09,12.400184720164273,20.07968706431663,11.679093337239191,31.17489771695883,23.35,11.261456601376,5.328778992794638,27.115557029027602,13.265906223405693,8.107516244065218,5.962189141806343,14.814219155859744,17.336551290168227,4.589247957573445,15.34,12.420120102589923,90.71219000078547,14.442293593715375,57.48983277386536,68.4854238032434,12.846770432636495,49.14777476305512
2020-07-17,51.36751432043872,6.372133628514099,31.080589311782752,13.589611630662331,11.901619569679829,16.18,32.57576461830967,47.67954959050336,26.656651796633824,11.385776768995164,13.537007223293708,23.26197072499107,18.777771306913806,93.37125974695849,6.347095780159829,9.63,42.48547268595675,63.933859385456145,58.6691790684323,64.71224130402408,14.374080902331846,10.38881279970359,96.77127866368077,7.733629378881278,26.760145857126396,11.193741645281605,8.699753120027326,10.31,8.56691686842193,23.89299806724878,52.39741226316005,10.180060799600547,36.27385244171267,22.439516803489322,4.21346801826807,17.727378542525848,26.03371959267422,49.13325538864062,5.377550627590644,60.89254463556454,899.5091013313374,30.121875951522203,30.634438288336785,6.322711857590581,9.00436399402698,37.231182209986194,19.09406708813535,32.20783294979775,67.38901650654246,86.26780782776711,9.080603994884637,10.107194873346037,9.034884730518577,6.026650718581011,3.9999519006695348,7.6735685688621595,13.25,11.87208236723245,19.71141061651152,11.617195760192192,32.490575488012645,23.26,11.545118927732352,5.370521172864181,26.96899236104909,13.578163307992742,7.927827459077857,6.043657145095903,14.643573426458875,18.383779479511148,4.578184804830943,14.9,12.372139751786062,93.50677057520376,14.375402234205504,57.66288217163037,64.88121166463392,13.681983859621312,48.98437441612302
